time_idx,semana_num,semana_sin,semana_cos,lag_1,lag_2,lag_3,lag_52,rolling_mean_4,rolling_std_4,predicted_casos,ano
312,1,0.12053668025532305,0.992708874098054,5,11,13,88,10.0,3.0,22,2025
313,2,0.23931566428755774,0.970941817426052,96,5,11,226,31.25769230769231,37.51244901843849,79,2025
314,3,0.3546048870425356,0.9350162426854148,96,96,5,452,52.01538461538462,44.06647345590792,131,2025
315,4,0.4647231720437685,0.8854560256532099,96,96,96,813,73.27307692307693,39.41747933994249,152,2025
316,5,0.5680647467311558,0.8229838658936564,96,96,96,948,96.03076923076924,0.0,137,2025
317,6,0.6631226582407952,0.7485107481711011,96,96,96,1175,96.03076923076924,0.0,137,2025
318,7,0.7485107481711011,0.6631226582407953,96,96,96,1178,96.03076923076924,0.0,137,2025
319,8,0.8229838658936564,0.5680647467311559,96,96,96,1734,96.03076923076924,0.0,137,2025
320,9,0.8854560256532099,0.4647231720437686,96,96,96,1724,96.03076923076924,0.0,137,2025
321,10,0.9350162426854148,0.35460488704253557,96,96,96,1959,96.03076923076924,0.0,137,2025
322,11,0.970941817426052,0.23931566428755804,96,96,96,2029,96.03076923076924,0.0,137,2025
323,12,0.992708874098054,0.120536680255323,96,96,96,2063,96.03076923076924,0.0,137,2025
324,13,1.0,-1.6081226496766366e-16,96,96,96,1446,96.03076923076924,0.0,137,2025
325,14,0.992708874098054,-0.12053668025532288,96,96,96,1649,96.03076923076924,0.0,137,2025
326,15,0.9709418174260521,-0.2393156642875575,96,96,96,1377,96.03076923076924,0.0,137,2025
327,16,0.9350162426854148,-0.35460488704253545,96,96,96,1137,96.03076923076924,0.0,137,2025
328,17,0.8854560256532099,-0.4647231720437685,96,96,96,845,96.03076923076924,0.0,137,2025
329,18,0.8229838658936565,-0.5680647467311557,96,96,96,694,96.03076923076924,0.0,137,2025
330,19,0.7485107481711013,-0.663122658240795,96,96,96,706,96.03076923076924,0.0,137,2025
331,20,0.6631226582407952,-0.7485107481711012,96,96,96,592,96.03076923076924,0.0,137,2025
332,21,0.5680647467311558,-0.8229838658936564,96,96,96,413,96.03076923076924,0.0,137,2025
333,22,0.46472317204376906,-0.8854560256532096,96,96,96,260,96.03076923076924,0.0,135,2025
334,23,0.35460488704253584,-0.9350162426854147,96,96,96,197,96.03076923076924,0.0,133,2025
335,24,0.23931566428755768,-0.970941817426052,96,96,96,140,96.03076923076924,0.0,119,2025
336,25,0.12053668025532308,-0.992708874098054,96,96,96,101,96.03076923076924,0.0,103,2025
337,26,-3.216245299353273e-16,-1.0,96,96,96,48,96.03076923076924,0.0,102,2025
338,27,-0.12053668025532283,-0.992708874098054,96,96,96,43,96.03076923076924,0.0,103,2025
339,28,-0.23931566428755743,-0.9709418174260521,96,96,96,29,96.03076923076924,0.0,103,2025
340,29,-0.3546048870425356,-0.9350162426854148,96,96,96,23,96.03076923076924,0.0,109,2025
341,30,-0.46472317204376806,-0.8854560256532101,96,96,96,21,96.03076923076924,0.0,111,2025
342,31,-0.5680647467311556,-0.8229838658936566,96,96,96,21,96.03076923076924,0.0,111,2025
343,32,-0.663122658240795,-0.7485107481711013,96,96,96,11,96.03076923076924,0.0,107,2025
344,33,-0.7485107481711011,-0.6631226582407952,96,96,96,11,96.03076923076924,0.0,107,2025
345,34,-0.8229838658936564,-0.5680647467311559,96,96,96,7,96.03076923076924,0.0,107,2025
346,35,-0.8854560256532096,-0.4647231720437691,96,96,96,3,96.03076923076924,0.0,107,2025
347,36,-0.9350162426854147,-0.3546048870425359,96,96,96,7,96.03076923076924,0.0,107,2025
348,37,-0.970941817426052,-0.23931566428755774,96,96,96,4,96.03076923076924,0.0,107,2025
349,38,-0.992708874098054,-0.12053668025532357,96,96,96,6,96.03076923076924,0.0,107,2025
350,39,-1.0,-1.8369701987210297e-16,96,96,96,1,96.03076923076924,0.0,119,2025
351,40,-0.992708874098054,0.1205366802553232,96,96,96,5,96.03076923076924,0.0,107,2025
352,41,-0.9709418174260521,0.23931566428755738,96,96,96,6,96.03076923076924,0.0,107,2025
353,42,-0.9350162426854148,0.35460488704253557,96,96,96,5,96.03076923076924,0.0,107,2025
354,43,-0.8854560256532101,0.464723172043768,96,96,96,6,96.03076923076924,0.0,107,2025
355,44,-0.822983865893657,0.5680647467311548,96,96,96,6,96.03076923076924,0.0,107,2025
356,45,-0.7485107481711011,0.6631226582407952,96,96,96,5,96.03076923076924,0.0,107,2025
357,46,-0.6631226582407955,0.7485107481711007,96,96,96,12,96.03076923076924,0.0,111,2025
358,47,-0.5680647467311559,0.8229838658936564,96,96,96,9,96.03076923076924,0.0,107,2025
359,48,-0.4647231720437684,0.88545602565321,96,96,96,12,96.03076923076924,0.0,111,2025
360,49,-0.35460488704253595,0.9350162426854147,96,96,96,11,96.03076923076924,0.0,107,2025
361,50,-0.2393156642875578,0.970941817426052,96,96,96,13,96.03076923076924,0.0,113,2025
362,51,-0.12053668025532363,0.992708874098054,96,96,96,11,96.03076923076924,0.0,110,2025
363,52,6.432490598706546e-16,1.0,96,96,96,5,96.03076923076924,0.0,110,2025
